zip code,community name
93510,Acton
91301,Agoura Hills
91376,Agoura Hills (PO Boxes)
91390,Agua Dulce
91801,Alhambra
91803,Alhambra
91804,Alhambra (Non-Geographic Zip Code Within 91801)
91802,Alhambra (PO Boxes)
91896,Alhambra (PO Boxes)
91899,Alhambra (PO Boxes)
91001,Altadena
91003,Altadena (PO Boxes)
91210,Americana at Brand & Glendale Galleria (Glendale)
91006,Arcadia
91007,Arcadia
91066,Arcadia (PO Boxes)
91077,Arcadia (PO Boxes)
91331,Arleta (Los Angeles)
90019,Arlington Heights (Los Angeles)
90701,Artesia
90702,Artesia (PO Boxes)
90044,Athens
90039,Atwater Village (Los Angeles)
90704,Avalon (PO Boxes)
91746,Avocado Heights
91010,Azusa
91702,Azusa
90008,Baldwin Hills (Los Angeles)
91706,Baldwin Park
91746,Bassett
90049,Bel Air Estates (Los Angeles)
90077,Bel Air Estates, Beverly Glen (Los Angeles)
90201,Bell
90270,Bell
90202,Bell (PO Boxes)
90096,Bell (Shared Firms)
91307,Bell Canyon
90201,Bell Gardens
90202,Bell Gardens (PO Boxes)
90706,Bellflower
90707,Bellflower (PO Boxes)
90803,Belmont Shore (Long Beach)
90853,Belmont Shore (PO Boxes) (Long Beach)
90077,Beverly Glen, Bel Air Estates (Los Angeles)
90210,Beverly Hills
90211,Beverly Hills
90212,Beverly Hills
90209,Beverly Hills (PO Boxes)
90213,Beverly Hills (PO Boxes)
90639,Biola University (La Mirada)
90807,Bixby Knolls (Long Beach)
91350,Bouquet Canyon
91304,Box Canyon
90033,Boyle Heights (Los Angeles)
90063,Boyle Heights (Los Angeles)
91008,Bradbury
91010,Bradbury
90049,Brentwood (Los Angeles)
91501,Burbank
91502,Burbank
91505,Burbank
91506,Burbank
91522,Burbank (Burbank Studios)
91504,Burbank (Glenoaks)
91503,Burbank (PO Boxes)
91507,Burbank (PO Boxes)
91508,Burbank (PO Boxes)
91510,Burbank (PO Boxes)
91521,Burbank (Walt Disney Co)
91526,Burbank (Walt Disney Co)
91522,Burbank Studios (Burbank)
91523,Burbank Studios (Burbank)
91797,Bureau of the Census (Pomona)
90006,Byzantine-Latino Quarter (Los Angeles)
91302,Calabasas
91125,California Institute of Technology (Pasadena)
91126,California Institute of Technology (Pasadena)
90840,California State Univ Long Beach (Long Beach)
91330,California State Univ Northridge (Los Angeles)
90506,Camino College (Torrance)
91303,Canoga Park (Los Angeles)
91304,Canoga Park (Los Angeles)
91305,Canoga Park (PO Boxes) (Los Angeles)
91308,Canoga Park (PO Boxes) (Los Angeles)
91309,Canoga Park (PO Boxes) (Los Angeles)
91386,Canyon Country (PO Boxes) (Santa Clarita)
91351,Canyon Country (Santa Clarita)
91387,Canyon Country (Santa Clarita)
90745,Carson
90746,Carson
90810,Carson
90747,Carson (California State Univ Dominguez Hills)
90895,Carson (Lakeshore Learning)
90749,Carson (PO Boxes)
91310,Castaic
91384,Castaic
91383,Castaic Valley (Santa Clarita PO)
90704,Catalina Island (PO Boxes)
90272,Castellemare (Los Angeles)
90067,Century City (Los Angeles)
90703,Cerritos
91724,Charter Oak
91311,Chatsworth (Los Angeles)
91313,Chatsworth (PO Boxes) (Los Angeles)
90064,Cheviot Hills (Los Angeles)
90012,Chinatown (Los Angeles)
90030,Chinatown (PO Boxes) (Los Angeles)
90086,Chinatown (PO Boxes) (Los Angeles)
90087,Chinatown (PO Boxes) (Los Angeles)
90189,Citibank (Los Angeles)
93551,City Ranch
90063,City Terrace
91711,Claremont
90040,Commerce, City of
90091,Commerce (PO Boxes)
90023,Commerce, East Los Angeles
90220,Compton
90221,Compton
90222,Compton
90224,Compton
90223,Compton (PO Boxes)
91301,Cornell
90019,Country Club Park (Los Angeles)
91722,Covina
91723,Covina
91724,Covina
90008,Crenshaw (Los Angeles)
93544,Crystalaire
90201,Cudahy
90066,Culver City
90230,Culver City
90232,Culver City
