zip code,crime rate
90001,61.5
90002,65.6
90003,65.7
90004,56.5
90005,65.3
90006,65.6
90007,51.1
90008,60.9
90009,-1
90010,37.4
90011,65.6
90012,64.4
90013,66.1
90014,62.2
90015,64.5
90016,56.1
90017,64.1
90018,64.4
90019,54.4
90020,53
90021,66.4
90022,57.4
90023,64.6
90024,33.8
90025,39.8
90026,58.3
90027,49.9
90028,63.8
90029,65.1
90030,-1
90031,59.1
90032,52.5
90033,65.2
90034,44.3
90035,36.6
90036,40.9
90037,65.7
90038,64.2
90039,36
90040,53.3
90041,31.9
90042,47.2
90043,56.1
90044,65.9
90045,26.4
90046,42.3
90047,58.2
90048,36.9
90049,26.4
90050,-1
90051,-1
90052,-1
90053,-1
90054,-1
90055,-1
90056,29.7
90057,66
90058,66.4
90059,65.5
90060,-1
90061,65.4
90062,63.1
90063,53.9
90064,27.7
90065,44.5
90066,35.1
90067,22.2
90068,32
90069,43
90070,-1
90071,-1
90072,-1
90073,67
90074,-1
90075,-1
90076,-1
90077,19.1
90078,-1
90079,-1
90080,-1
90081,-1
90082,-1
90083,-1
90084,-1
90085,-1
90086,-1
90087,-1
90088,-1
90089,24.8
90090,-1
90091,-1
90092,-1
90093,-1
90094,25.8
90095,-1
90096,-1
90097,-1
90098,-1
90099,-1
90100,-1
90101,-1
90102,-1
90103,-1
90104,-1
90105,-1
90106,-1
90107,-1
90108,-1
90109,-1
90110,-1
90111,-1
90112,-1
90113,-1
90114,-1
90115,-1
90116,-1
90117,-1
90118,-1
90119,-1
90120,-1
90121,-1
90122,-1
90123,-1
90124,-1
90125,-1
90126,-1
90127,-1
90128,-1
90129,-1
90130,-1
90131,-1
90132,-1
90133,-1
90134,-1
90135,-1
90136,-1
90137,-1
90138,-1
90139,-1
90140,-1
90141,-1
90142,-1
90143,-1
90144,-1
90145,-1
90146,-1
90147,-1
90148,-1
90149,-1
90150,-1
90151,-1
90152,-1
90153,-1
90154,-1
90155,-1
90156,-1
90157,-1
90158,-1
90159,-1
90160,-1
90161,-1
90162,-1
90163,-1
90164,-1
90165,-1
90166,-1
90167,-1
90168,-1
90169,-1
90170,-1
90171,-1
90172,-1
90173,-1
90174,-1
90175,-1
90176,-1
90177,-1
90178,-1
90179,-1
90180,-1
90181,-1
90182,-1
90183,-1
90184,-1
90185,-1
90186,-1
90187,-1
90188,-1
90189,-1
90190,-1
90191,-1
90192,-1
90193,-1
90194,-1
90195,-1
90196,-1
90197,-1
90198,-1
90199,-1
90200,-1
90201,59
90202,-1
90203,-1
90204,-1
90205,-1
90206,-1
90207,-1
90208,-1
90209,-1
90210,18.2
90211,34.5
90212,33.5
90213,-1
90214,-1
90215,-1
90216,-1
90217,-1
90218,-1
90219,-1
90220,56
90221,59.5
90222,58.4
90223,-1
90224,-1
90225,-1
90226,-1
90227,-1
90228,-1
90229,-1
90230,34.8
90231,-1
90232,35.4
90233,-1
90234,-1
90235,-1
90236,-1
90237,-1
90238,-1
90239,-1
90240,28.5
90241,39.9
90242,40.2
90243,-1
90244,-1
90245,31.5
90246,-1
90247,46.6
90248,29.2
90249,39.9
90250,53.6
90251,-1
90252,-1
90253,-1
90254,24.5
90255,60.3
90256,-1
90257,-1
90258,-1
90259,-1
90260,42.1
90261,-1
90262,55.3
90263,-1
90264,-1
90265,20
90266,15.3
90267,-1
90268,-1
90269,-1
90270,58.8
90271,-1
90272,19.9
