housing value,zip code,latitude,longitude
753500,91301,34.127307,-118.765136
-1,91376,34.147078,-118.75381
539300,91801,34.090456,-118.134132
548300,91803,34.076085,-118.143992
-1,91802,34.093211,-118.125409
-1,91804,34.1,-118.129999
-1,91896,34.09,-118.12
-1,91899,34.09,-118.12
1126100,91007,34.125321,-118.050043
1031300,91006,34.148421,-118.030092
-1,91066,34.141494,-118.029606
-1,91077,34.126285,-118.05613
443400,90701,33.866897,-118.08022
-1,90702,33.865784,-118.08388
576600,90704,33.390202,-118.454627
366600,91702,34.242963,-117.813167
361100,91706,34.094594,-117.966364
-1,90202,33.98,-118.19
337700,90201,33.967248,-118.167831
401700,90706,33.888048,-118.129042
-1,90707,33.882136,-118.124379
4140800,90210,34.099888,-118.416025
1859400,90212,34.060937,-118.402006
1635800,90211,34.064713,-118.381254
-1,90213,34.073137,-118.394529
-1,90209,34.073137,-118.394529
615100,91505,34.176714,-118.346934
646700,91504,34.203301,-118.326869
650500,91501,34.199561,-118.297501
640600,91506,34.171631,-118.321426
445800,91502,34.178351,-118.314778
-1,91510,34.187911,-118.347781
-1,91503,34.187281,-118.348996
-1,91507,34.187911,-118.347781
-1,91508,34.19166,-118.325058
-1,91521,34.156269,-118.325112
-1,91522,34.150977,-118.339246
-1,91523,34.154466,-118.333327
-1,91526,34.156744,-118.325066
1308000,91302,34.129209,-118.661936
-1,91372,34.154351,-118.641914
400900,90745,33.826839,-118.261744
442000,90746,33.8608,-118.255198
-1,90749,33.83,-118.26
-1,90747,33.867085,-118.256673
634800,90703,33.866511,-118.06864
597300,91711,34.157787,-117.705378
269200,90220,33.874966,-118.240426
287900,90221,33.877965,-118.203172
257100,90222,33.913529,-118.237597
-1,90224,33.900849,-118.216171
-1,90223,33.895941,-118.224447
401500,91722,34.098373,-117.907244
481800,91724,34.079224,-117.852
436100,91723,34.084979,-117.887865
639800,90230,33.997269,-118.396496
913100,90232,34.019665,-118.393434
-1,90231,33.996701,-118.39545
-1,90233,33.98,-118.39
624600,91765,33.995104,-117.813144
488300,90241,33.940488,-118.125641
414700,90242,33.923194,-118.140136
485500,90240,33.956004,-118.118982
-1,90239,33.944538,-118.118714
429800,91010,34.168683,-117.962123
-1,91009,34.1389,-117.965993
1851900,91008,34.168607,-117.96694
414100,91732,34.069228,-118.014056
402300,91731,34.080735,-118.046133
-1,91734,34.072771,-118.033077
-1,91735,34.072684,-118.024857
846600,90245,33.916566,-118.40155
390100,90247,33.894836,-118.2981
415200,90249,33.899789,-118.317433
404200,90248,33.872132,-118.287537
508400,91205,34.134144,-118.24129
657400,91206,34.16651,-118.218282
655700,91202,34.168871,-118.268284
645700,91201,34.171612,-118.294139
411500,91203,34.152695,-118.264359
424600,91204,34.133093,-118.261772
817600,91208,34.190619,-118.241459
844100,91207,34.187707,-118.2587
-1,91209,34.146259,-118.252379
-1,91226,34.146195,-118.23508
-1,91225,34.133164,-118.253866
-1,91221,34.167282,-118.289508
-1,91224,34.23,-118.25
-1,91210,34.144706,-118.258133
-1,91393,34.16,-118.28
-1,91222,34.160299,-118.264611
-1,91046,34.212432,-118.241214
447100,91740,34.11826,-117.847504
586600,91741,34.166835,-117.842327
324100,90716,33.83045,-118.072769
467300,90250,33.913119,-118.346067
-1,90251,33.917461,-118.360659
1258900,90254,33.864144,-118.399488
334400,90255,33.977797,-118.21337
-1,91715,34.015368,-117.970346
321600,90301,33.959515,-118.35706
319500,90302,33.972947,-118.353341
404000,90303,33.935396,-118.331871
-1,90304,33.935024,-118.361144
398700,90305,33.959862,-118.329875
-1,90309,33.959221,-118.351503
-1,90308,33.959221,-118.351503
-1,90307,33.959221,-118.351503
-1,90306,33.959221,-118.351503
-1,90310,33.929378,-118.322561
-1,90311,33.96,-118.349999
-1,90312,33.96,-118.349999
1435500,91011,34.221954,-118.205261
-1,91012,34.201092,-118.19152
466100,90638,33.900795,-118.007222
-1,90637,33.8957,-118.003757
-1,90639,33.903448,-118.016581
371600,91744,34.028285,-117.932776
374500,91746,34.042672,-117.992718
-1,91747,34.037334,-117.951959
540200,91750,34.154221,-117.765965
468900,90712,33.845266,-118.146396
484900,90713,33.850373,-118.10969
415400,90715,33.840451,-118.078195
-1,90714,33.852228,-118.133035
-1,90711,33.852228,-118.133035
259400,93536,34.774218,-118.478527
172700,93535,34.755236,-117.881251
153200,93534,34.725981,-118.150199
-1,93539,34.6828,-118.16564
-1,93584,34.7,-118.14
-1,93586,34.65,-118.22
430300,90260,33.887393,-118.350281
570100,90717,33.791816,-118.318636
345800,90805,33.862578,-118.177734
278200,90802,33.748002,-118.213129
321000,90813,33.781595,-118.196418
791800,90803,33.753122,-118.130879
399100,90804,33.782531,-118.144417
572700,90815,33.7965,-118.113761
567700,90808,33.828717,-118.108635
515000,90807,33.829019,-118.172618
422800,90806,33.80805,-118.186998
349300,90810,33.817427,-118.225974
642700,90814,33.769793,-118.142282
-1,90801,33.770513,-118.187732
-1,90809,33.799183,-118.151366
-1,90853,33.760787,-118.136213
-1,90832,33.768355,-118.19943
-1,90822,33.778369,-118.118693
-1,90833,33.767797,-118.199533
-1,90834,33.77,-118.2
-1,90835,33.77,-118.2
-1,90840,33.784574,-118.121253
-1,90842,33.768107,-118.195831
-1,90844,33.774402,-118.192051
-1,90846,33.824231,-118.149666
-1,90847,33.831585,-118.156049
-1,90848,33.83,-118.18
-1,90831,33.76837,-118.202001
-1,90899,33.944348,-118.38453
1121600,90046,34.10726,-118.371739
847800,90034,34.029463,-118.399381
300400,90044,33.952345,-118.295816
652100,90026,34.076149,-118.260988
986400,90066,34.000252,-118.43187
807000,90019,34.049503,-118.339748
1094300,90004,34.076131,-118.310856
751100,90025,34.046786,-118.443544
307400,90011,34.009839,-118.258522
1163200,90027,34.125733,-118.288201
422400,91335,34.200579,-118.540385
496200,90731,33.739502,-118.27353
1300000,90036,34.069146,-118.350905
357500,91331,34.256792,-118.418955
513700,90042,34.112393,-118.190312
511800,90006,34.047614,-118.292218
653200,90028,34.099971,-118.327542
986200,90024,34.065705,-118.43599
356400,91402,34.228876,-118.444531
625800,91367,34.17441,-118.615177
453400,91406,34.194045,-118.49239
2300200,90049,34.086229,-118.489275
442500,90020,34.065388,-118.311032
431500,91405,34.203087,-118.447999
512400,91601,34.168533,-118.370894
685100,90005,34.059925,-118.31023
328200,90047,33.952782,-118.309463
456200,91343,34.23921,-118.477272
279900,90003,33.963746,-118.273905
431100,90016,34.029603,-118.356803
427700,90018,34.027283,-118.317633
410600,90043,33.98547,-118.337855
348200,90037,34.00366,-118.28722
528800,91304,34.230565,-118.629654
336600,90022,34.029398,-118.153367
815900,90045,33.955871,-118.402657
523800,91344,34.288687,-118.513965
-1,90057,34.062072,-118.275477
423200,91605,34.208851,-118.394109
659100,90029,34.090107,-118.293986
599100,90065,34.10935,-118.227346
452000,91606,34.185762,-118.390637
1373800,90291,33.9932,-118.465345
821000,91423,34.147536,-118.432719
548600,90008,34.007973,-118.345638
629700,91401,34.179396,-118.43179
1017400,91604,34.137915,-118.390674
372200,90744,33.776922,-118.259079
448200,91306,34.211311,-118.575645
1059500,90035,34.052182,-118.38492
702200,91607,34.164714,-118.400998
532200,91311,34.287442,-118.601168
491200,90007,34.02654,-118.283049
408700,90012,34.065922,-118.24071
1203500,90048,34.070997,-118.375927
1164000,90068,34.129874,-118.334365
376600,90032,34.081295,-118.180749
340200,90033,34.050079,-118.21142
318500,90063,34.045384,-118.187413
267100,90001,33.97454,-118.248392
497200,90017,34.052644,-118.26479
686200,90038,34.088738,-118.327687
676100,91326,34.280369,-118.557645
534800,91316,34.157356,-118.517543
1083800,90064,34.035174,-118.430043
254500,90002,33.949005,-118.245834
705900,90039,34.117506,-118.252796
586700,91325,34.23484,-118.516524
842500,91403,34.146674,-118.465399
834400,91356,34.155029,-118.548061
396600,91352,34.23445,-118.344667
404900,90031,34.082038,-118.21764
316700,90023,34.024315,-118.200066
571300,90015,34.038621,-118.267216
766500,91364,34.155517,-118.599919
261500,90059,33.920954,-118.245269
652000,90041,34.133955,-118.204429
474400,91042,34.306997,-118.233624
680600,91602,34.14582,-118.366597
394400,91303,34.19738,-118.60097
508200,91324,34.238187,-118.550445
2342000,90272,34.078205,-118.541395
371700,90062,34.003744,-118.309719
571600,91411,34.178701,-118.461796
552500,90732,33.7367,-118.316004
462100,91040,34.286262,-118.315014
289900,90061,33.920401,-118.274558
541700,90293,33.945297,-118.440638
478600,90013,34.045242,-118.241236
688200,90094,33.974928,-118.419034
1336400,91436,34.153744,-118.495086
419000,91345,34.27038,-118.457235
376100,90014,34.04374,-118.251183
906900,90056,33.996132,-118.37024
2477400,90077,34.10308,-118.454001
331600,90040,33.993996,-118.153245
741000,90010,34.061639,-118.311419
-1,90009,33.93821,-118.387287
-1,90067,34.056562,-118.413721
-1,91413,34.164322,-118.458048
-1,90021,34.02885,-118.240675
-1,91392,34.31,-118.45
-1,90078,34.096822,-118.331073
-1,90058,34.000178,-118.206026
-1,91409,34.201114,-118.475058
-1,91357,34.172548,-118.540994
-1,90748,33.78309,-118.262606
-1,91365,34.17,-118.61
-1,90733,33.736748,-118.280508
-1,91416,34.18,-118.52
-1,91313,34.256478,-118.600815
-1,91603,34.168003,-118.37774
-1,91337,34.203311,-118.535372
-1,91353,34.22,-118.37
-1,91333,34.262633,-118.427956
-1,90294,33.99,-118.459999
-1,91308,34.2,-118.64
-1,90093,34.097126,-118.33534
-1,91614,34.142317,-118.394161
-1,91394,34.259999,-118.52
-1,91615,34.198606,-118.397407
-1,90086,34.058123,-118.235327
-1,91309,34.218512,-118.598313
-1,91610,34.16,-118.379999
-1,91396,34.210046,-118.57153
-1,91327,34.27,-118.54
-1,91328,34.243742,-118.53546
-1,91412,34.224479,-118.447061
-1,91426,34.16,-118.5
-1,90734,33.735833,-118.292221
-1,91041,34.262351,-118.319773
-1,90050,34.120611,-118.203632
-1,90075,34.063961,-118.304485
-1,90081,34.052387,-118.250966
-1,91617,34.16453,-118.404593
-1,91346,34.27,-118.47
-1,90083,33.971038,-118.378837
-1,91043,34.251422,-118.291203
-1,91408,34.182678,-118.448646
-1,91395,34.257596,-118.465444
-1,90051,33.975622,-118.256466
-1,91609,34.189479,-118.388392
-1,90071,34.052415,-118.255038
-1,90082,33.996364,-118.282742
-1,90076,34.063961,-118.304485
-1,90054,33.975622,-118.256466
-1,90060,33.975622,-118.256466
-1,90053,34.054169,-118.239547
-1,91334,34.26,-118.42
-1,90070,34.063961,-118.304485
-1,90296,33.95,-118.44
-1,90030,33.975622,-118.256466
-1,90091,34.035155,-118.367807
-1,91305,34.201378,-118.60314
-1,90087,33.975622,-118.256466
-1,91616,34.18,-118.4
-1,91404,34.182678,-118.448646
-1,90072,34.096527,-118.309292
-1,91407,34.182678,-118.448646
-1,90073,34.05246,-118.458389
-1,90055,34.040475,-118.257225
-1,90079,34.040585,-118.255404
-1,90089,34.039941,-118.247137
-1,91330,34.24294,-118.527484
-1,91482,34.2,-118.47
-1,91495,34.2,-118.47
-1,91496,34.2,-118.47
-1,91499,34.2,-118.47
-1,90189,34.051571,-118.254985
-1,91371,34.185324,-118.576068
-1,90088,34.052704,-118.251911
-1,90080,33.95,-118.38
-1,91410,34.2,-118.47
-1,91329,34.225609,-118.502458
-1,90084,34.052704,-118.251911
-1,90074,34.053539,-118.253285
-1,90052,34.050658,-118.243646
-1,91611,34.185768,-118.39651
-1,91612,34.186538,-118.39651
-1,90095,34.070542,-118.443654
-1,90096,33.97,-118.17
-1,90099,34.06,-118.239999
-1,91470,34.2,-118.47
-1,90090,34.073563,-118.240478
304300,90262,33.924493,-118.203223
2423500,90265,34.067484,-118.817614
-1,90264,34.034905,-118.694182
-1,90263,34.040364,-118.708997
1856800,90266,33.89479,-118.40786
-1,90267,33.885725,-118.396058
371400,90270,33.988339,-118.187239
560300,91016,34.190851,-117.990967
-1,91017,34.149447,-117.999343
422000,90640,34.008394,-118.106126
546500,91754,34.051353,-118.145354
545500,91755,34.051946,-118.111958
-1,91756,34.043577,-118.141199
375800,90650,33.90717,-118.076913
-1,90651,33.904557,-118.078445
-1,90652,33.904557,-118.078445
180500,93550,34.538214,-118.096398
302900,93551,34.582458,-118.236325
216300,93552,34.55184,-118.019937
-1,93591,34.597803,-117.823782
-1,93590,34.5,-118.06
-1,93599,34.614878,-118.112906
321000,90723,33.899259,-118.165729
764300,91107,34.165531,-118.089242
648700,91104,34.167957,-118.122255
554400,91106,34.138004,-118.129499
452600,91101,34.146827,-118.139347
581100,91103,34.164894,-118.168123
1021400,91105,34.141161,-118.165998
-1,91109,34.154599,-118.153855
-1,91102,34.148519,-118.141947
-1,91117,34.146141,-118.088049
-1,91116,34.146266,-118.130347
-1,91114,34.164737,-118.150197
-1,91115,34.13582,-118.15297
-1,91110,34.16,-118.15
-1,91121,34.149155,-118.090067
-1,91123,34.144121,-118.156876
-1,91124,34.148597,-118.152362
-1,91125,34.134337,-118.126532
-1,91126,34.134333,-118.12652
-1,91129,34.144121,-118.156876
-1,91175,34.1306,-118.1484
-1,91182,34.15018,-118.14026
-1,91184,34.139214,-118.160146
-1,91185,34.16,-118.15
-1,91186,34.1502,-118.071599
-1,91188,34.150396,-118.142204
-1,91189,34.128188,-118.147713
-1,91199,34.144345,-118.132596
370700,90660,33.987197,-118.086777
-1,90662,33.985941,-118.085708
-1,90661,33.985941,-118.085708
326200,91766,34.039143,-117.754423
331600,91767,34.085734,-117.734276
319900,91768,34.063529,-117.794085
-1,91769,34.060299,-117.758377
-1,91799,34.058899,-117.7613
1158900,90275,33.754838,-118.363233
918300,90277,33.831188,-118.387689
781000,90278,33.874505,-118.371852
490600,91770,34.062274,-118.081895
-1,91771,34.053513,-118.081344
-1,91772,34.053513,-118.081344
518300,91773,34.112738,-117.811988
345700,91340,34.286008,-118.433573
-1,91341,34.28,-118.44
556900,91776,34.089056,-118.092864
753000,91775,34.116228,-118.094193
-1,91778,34.102398,-118.099591
2134200,91108,34.121167,-118.115079
-1,91118,34.126533,-118.09188
404800,91342,34.320566,-118.400449
446100,91387,34.401853,-118.398697
456400,91350,34.430572,-118.489238
464500,91355,34.424871,-118.602604
407200,91321,34.366649,-118.539611
496900,91354,34.452753,-118.554483
399000,91351,34.439162,-118.452555
548800,91390,34.505107,-118.409974
-1,91380,34.421776,-118.56214
-1,91386,34.42,-118.45
-1,91322,34.38,-118.53
-1,91385,34.39,-118.56
-1,91382,34.39,-118.54
-1,91383,34.428076,-118.642739
403500,90670,33.9265,-118.063804
-1,90671,33.95,-118.08
1171700,90405,34.010684,-118.469359
958100,90403,34.029867,-118.491323
726000,90404,34.026475,-118.471554
-1,90401,34.014864,-118.494939
3064100,90402,34.034334,-118.502816
-1,90406,34.019178,-118.496618
-1,90408,34.026088,-118.490409
-1,90409,34.000357,-118.482973
-1,90411,34.02,-118.5
-1,90410,34.02,-118.5
-1,90407,34.02,-118.5
828200,91024,34.191988,-118.042812
-1,91025,34.160808,-118.052808
406800,90755,33.804353,-118.167221
395300,91733,34.046498,-118.047367
332800,90280,33.938135,-118.194061
851900,91030,34.112112,-118.157412
-1,91031,34.11473,-118.153163
654900,91780,34.103177,-118.050927
738500,90503,33.84086,-118.349528
545800,90501,33.830659,-118.314586
812100,90505,33.804841,-118.350256
579000,90504,33.867168,-118.332444
371800,90502,33.833974,-118.292286
-1,90510,33.827082,-118.328833
-1,90508,33.833782,-118.31533
-1,90507,33.833782,-118.31533
-1,90509,33.83,-118.33
-1,90506,33.884378,-118.330797
