zip code,walk score
91301,0
91376,63
91801,81
91803,75
91802,89
91804,85
91896,72
91899,72
91007,77
91006,61
91066,87
91077,87
90701,88
90702,87
90704,7
91702,0
91706,60
90202,88
90201,73
90706,76
90707,88
90210,2
90212,90
90211,90
90213,89
90209,89
91505,81
91504,70
91501,3
91506,81
91502,66
91510,65
91503,65
91507,65
91508,75
91521,57
91522,83
91523,80
91526,57
91302,9
91372,69
90745,77
90746,51
90749,77
90747,55
90703,64
91711,0
90220,27
90221,68
90222,54
90224,74
90223,86
91722,71
91724,6
91723,88
90230,84
90232,89
90231,86
90233,72
91765,66
90241,72
90242,67
90240,44
90239,70
91010,0
91009,68
91008,0
91732,50
91731,70
91734,90
91735,84
90245,66
90247,80
90249,84
90248,32
91205,83
91206,3
91202,51
91201,86
91203,85
91204,88
91208,1
91207,1
91209,96
91226,87
91225,93
91221,88
91224,82
91210,88
91393,70
91222,91
91046,74
91740,33
91741,0
90716,91
90250,79
90251,73
90254,95
90255,80
91715,51
90301,68
90302,85
90303,64
90304,75
90305,59
90309,93
90308,93
90307,93
90306,93
90310,72
90311,93
90312,93
91011,3
91012,75
90638,70
90637,76
90639,42
91744,43
91746,50
91747,77
91750,0
90712,39
90713,41
90715,64
90714,78
90711,78
93536,0
93535,0
93534,3
93539,54
93584,87
93586,55
90260,87
90717,83
90805,74
90802,5
90813,87
90803,59
90804,85
90815,61
90808,42
90807,66
90806,60
90810,5
90814,86
90801,97
90809,54
90853,95
90832,81
90822,50
90833,81
90834,88
90835,88
90840,58
90842,88
90844,98
90846,10
90847,32
90848,78
90831,67
90899,45
90046,43
90034,88
90044,50
90026,97
90066,91
90019,86
90004,94
90025,93
90011,76
90027,1
91335,83
90731,22
90036,88
91331,52
90042,92
90006,93
90028,99
90024,67
91402,70
91367,46
91406,72
90049,13
90020,96
91405,70
91601,85
90005,97
90047,75
91343,51
90003,68
90016,79
90018,77
90043,68
90037,80
91304,8
90022,74
90045,58
91344,10
90057,93
91605,66
90029,90
90065,25
91606,81
90291,92
91423,80
90008,15
91401,71
91604,71
90744,79
91306,61
90035,95
91607,82
91311,0
90007,91
90012,92
90048,93
90068,11
90032,66
90033,89
90063,73
90001,90
90017,94
90038,94
91326,7
91316,71
90064,69
90002,65
90039,76
91325,20
91403,29
91356,11
91352,3
90031,76
90023,86
90015,79
91364,36
90059,55
90041,59
91042,0
91602,58
91303,78
91324,62
90272,4
90062,77
91411,65
90732,43
91040,0
90061,34
90293,2
90013,94
90094,74
91436,56
91345,33
90014,98
90056,7
90077,2
90040,42
90010,96
90009,6
90067,88
91413,54
90021,61
91392,54
90078,96
90058,47
91409,65
91357,82
90748,92
91365,85
90733,89
91416,39
91313,77
91603,91
91337,82
91353,77
91333,79
90294,91
91308,33
90093,95
91614,85
91394,70
91615,56
90086,93
91309,77
91610,61
91396,76
91327,13
91328,72
91412,85
91426,83
90734,90
91041,65
90050,88
90075,96
90081,96
91617,72
91346,57
90083,60
91043,80
91408,79
91395,75
90051,77
91609,76
90071,94
90082,71
90076,96
90054,77
90060,77
90053,90
91334,57
90070,96
90296,35
90030,77
90091,72
91305,90
90087,77
91616,66
91404,79
90072,91
91407,79
90073,75
90055,97
90079,97
90089,87
91330,48
91482,76
91495,76
91496,76
91499,76
90189,97
91371,33
90088,95
90080,57
91410,76
91329,67
90084,95
90074,96
90052,96
91611,87
91612,87
90095,57
90096,59
90099,97
91470,76
90090,22
90262,63
90265,0
90264,54
90263,27
90266,51
90267,85
90270,89
91016,0
91017,89
90640,81
91754,24
91755,29
91756,74
90650,90
90651,85
90652,85
93550,2
93551,0
93552,1
93591,7
93590,4
93599,3
90723,45
91107,12
91104,78
91106,91
91101,96
91103,17
91105,21
91109,87
91102,95
91117,82
91116,98
91114,74
91115,92
91110,86
91121,79
91123,85
91124,79
91125,68
91126,68
91129,85
91175,83
91182,90
91184,57
91185,86
91186,79
91188,90
91189,82
91199,97
90660,54
90662,57
90661,57
91766,50
91767,48
91768,33
91769,86
91799,76
90275,1
90277,74
90278,89
91770,65
91771,48
91772,48
91773,42
91340,86
91341,93
91776,69
91775,30
91778,83
91108,49
91118,62
91342,9
91387,0
91350,6
91355,13
91321,11
91354,24
91351,2
91390,0
91380,72
91386,39
91322,92
91385,39
91382,35
91383,0
90670,30
90671,61
90405,84
90403,87
90404,85
90401,93
90402,57
90406,93
90408,91
90409,95
90411,88
90410,88
90407,88
91024,0
91025,76
90755,81
91733,69
90280,57
91030,85
91031,95
91780,51
90503,78
90501,95
90505,87
90504,49
90502,66
90510,71
90508,95
90507,95
90509,70
90506,52
91789,53
91788,65
91790,67
91791,44
91792,51
91793,77
90069,74
91361,0
91359,54
90604,58
90601,10
90605,60
90606,51
90602,14
90603,77
90608,94
90607,61
90609,69
90610,85
90612,41
